sample_id,run_id,sample_event,phase,timepoint,replicate,article_id,readout_groups,storage_or_handoff
ZRCND-B-no_module_static_control-R1-1h-initial,ZRCND-B-no_module_static_control-R1-1h,initial,B,1 h,1,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R1-1h-final,ZRCND-B-no_module_static_control-R1-1h,final,B,1 h,1,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R1-24h-initial,ZRCND-B-no_module_static_control-R1-24h,initial,B,24 h,1,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R1-24h-final,ZRCND-B-no_module_static_control-R1-24h,final,B,24 h,1,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R1-4h-initial,ZRCND-B-no_module_static_control-R1-4h,initial,B,4 h,1,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R1-4h-final,ZRCND-B-no_module_static_control-R1-4h,final,B,4 h,1,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-baseline_rc_3p5m_guard-R2-0h-initial,ZRCND-B-baseline_rc_3p5m_guard-R2-0h,initial,B,0 h,2,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-baseline_rc_3p5m_guard-R2-0h-final,ZRCND-B-baseline_rc_3p5m_guard-R2-0h,final,B,0 h,2,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-baseline_rc_3p5m_guard-R2-1h-initial,ZRCND-B-baseline_rc_3p5m_guard-R2-1h,initial,B,1 h,2,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-baseline_rc_3p5m_guard-R2-1h-final,ZRCND-B-baseline_rc_3p5m_guard-R2-1h,final,B,1 h,2,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-baseline_rc_3p5m_guard-R2-24h-initial,ZRCND-B-baseline_rc_3p5m_guard-R2-24h,initial,B,24 h,2,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-baseline_rc_3p5m_guard-R2-24h-final,ZRCND-B-baseline_rc_3p5m_guard-R2-24h,final,B,24 h,2,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-baseline_rc_3p5m_guard-R2-4h-initial,ZRCND-B-baseline_rc_3p5m_guard-R2-4h,initial,B,4 h,2,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-baseline_rc_3p5m_guard-R2-4h-final,ZRCND-B-baseline_rc_3p5m_guard-R2-4h,final,B,4 h,2,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-challenge_zrc_nd_10m_guard-R2-0h-initial,ZRCND-B-challenge_zrc_nd_10m_guard-R2-0h,initial,B,0 h,2,challenge_zrc_nd_10m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-challenge_zrc_nd_10m_guard-R2-0h-final,ZRCND-B-challenge_zrc_nd_10m_guard-R2-0h,final,B,0 h,2,challenge_zrc_nd_10m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-challenge_zrc_nd_10m_guard-R2-1h-initial,ZRCND-B-challenge_zrc_nd_10m_guard-R2-1h,initial,B,1 h,2,challenge_zrc_nd_10m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-challenge_zrc_nd_10m_guard-R2-1h-final,ZRCND-B-challenge_zrc_nd_10m_guard-R2-1h,final,B,1 h,2,challenge_zrc_nd_10m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-challenge_zrc_nd_10m_guard-R2-24h-initial,ZRCND-B-challenge_zrc_nd_10m_guard-R2-24h,initial,B,24 h,2,challenge_zrc_nd_10m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-challenge_zrc_nd_10m_guard-R2-24h-final,ZRCND-B-challenge_zrc_nd_10m_guard-R2-24h,final,B,24 h,2,challenge_zrc_nd_10m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-challenge_zrc_nd_10m_guard-R2-4h-initial,ZRCND-B-challenge_zrc_nd_10m_guard-R2-4h,initial,B,4 h,2,challenge_zrc_nd_10m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-challenge_zrc_nd_10m_guard-R2-4h-final,ZRCND-B-challenge_zrc_nd_10m_guard-R2-4h,final,B,4 h,2,challenge_zrc_nd_10m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-lead_zrc_nd_3p5m_guard-R2-0h-initial,ZRCND-B-lead_zrc_nd_3p5m_guard-R2-0h,initial,B,0 h,2,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-lead_zrc_nd_3p5m_guard-R2-0h-final,ZRCND-B-lead_zrc_nd_3p5m_guard-R2-0h,final,B,0 h,2,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-lead_zrc_nd_3p5m_guard-R2-1h-initial,ZRCND-B-lead_zrc_nd_3p5m_guard-R2-1h,initial,B,1 h,2,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-lead_zrc_nd_3p5m_guard-R2-1h-final,ZRCND-B-lead_zrc_nd_3p5m_guard-R2-1h,final,B,1 h,2,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-lead_zrc_nd_3p5m_guard-R2-24h-initial,ZRCND-B-lead_zrc_nd_3p5m_guard-R2-24h,initial,B,24 h,2,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-lead_zrc_nd_3p5m_guard-R2-24h-final,ZRCND-B-lead_zrc_nd_3p5m_guard-R2-24h,final,B,24 h,2,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-lead_zrc_nd_3p5m_guard-R2-4h-initial,ZRCND-B-lead_zrc_nd_3p5m_guard-R2-4h,initial,B,4 h,2,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-lead_zrc_nd_3p5m_guard-R2-4h-final,ZRCND-B-lead_zrc_nd_3p5m_guard-R2-4h,final,B,4 h,2,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R2-0h-initial,ZRCND-B-no_module_static_control-R2-0h,initial,B,0 h,2,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R2-0h-final,ZRCND-B-no_module_static_control-R2-0h,final,B,0 h,2,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R2-1h-initial,ZRCND-B-no_module_static_control-R2-1h,initial,B,1 h,2,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R2-1h-final,ZRCND-B-no_module_static_control-R2-1h,final,B,1 h,2,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R2-24h-initial,ZRCND-B-no_module_static_control-R2-24h,initial,B,24 h,2,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R2-24h-final,ZRCND-B-no_module_static_control-R2-24h,final,B,24 h,2,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R2-4h-initial,ZRCND-B-no_module_static_control-R2-4h,initial,B,4 h,2,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R2-4h-final,ZRCND-B-no_module_static_control-R2-4h,final,B,4 h,2,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-baseline_rc_3p5m_guard-R3-0h-initial,ZRCND-B-baseline_rc_3p5m_guard-R3-0h,initial,B,0 h,3,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-baseline_rc_3p5m_guard-R3-0h-final,ZRCND-B-baseline_rc_3p5m_guard-R3-0h,final,B,0 h,3,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-baseline_rc_3p5m_guard-R3-1h-initial,ZRCND-B-baseline_rc_3p5m_guard-R3-1h,initial,B,1 h,3,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-baseline_rc_3p5m_guard-R3-1h-final,ZRCND-B-baseline_rc_3p5m_guard-R3-1h,final,B,1 h,3,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-baseline_rc_3p5m_guard-R3-24h-initial,ZRCND-B-baseline_rc_3p5m_guard-R3-24h,initial,B,24 h,3,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-baseline_rc_3p5m_guard-R3-24h-final,ZRCND-B-baseline_rc_3p5m_guard-R3-24h,final,B,24 h,3,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-baseline_rc_3p5m_guard-R3-4h-initial,ZRCND-B-baseline_rc_3p5m_guard-R3-4h,initial,B,4 h,3,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-baseline_rc_3p5m_guard-R3-4h-final,ZRCND-B-baseline_rc_3p5m_guard-R3-4h,final,B,4 h,3,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-challenge_zrc_nd_10m_guard-R3-0h-initial,ZRCND-B-challenge_zrc_nd_10m_guard-R3-0h,initial,B,0 h,3,challenge_zrc_nd_10m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-challenge_zrc_nd_10m_guard-R3-0h-final,ZRCND-B-challenge_zrc_nd_10m_guard-R3-0h,final,B,0 h,3,challenge_zrc_nd_10m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-challenge_zrc_nd_10m_guard-R3-1h-initial,ZRCND-B-challenge_zrc_nd_10m_guard-R3-1h,initial,B,1 h,3,challenge_zrc_nd_10m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-challenge_zrc_nd_10m_guard-R3-1h-final,ZRCND-B-challenge_zrc_nd_10m_guard-R3-1h,final,B,1 h,3,challenge_zrc_nd_10m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-challenge_zrc_nd_10m_guard-R3-24h-initial,ZRCND-B-challenge_zrc_nd_10m_guard-R3-24h,initial,B,24 h,3,challenge_zrc_nd_10m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-challenge_zrc_nd_10m_guard-R3-24h-final,ZRCND-B-challenge_zrc_nd_10m_guard-R3-24h,final,B,24 h,3,challenge_zrc_nd_10m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-challenge_zrc_nd_10m_guard-R3-4h-initial,ZRCND-B-challenge_zrc_nd_10m_guard-R3-4h,initial,B,4 h,3,challenge_zrc_nd_10m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-challenge_zrc_nd_10m_guard-R3-4h-final,ZRCND-B-challenge_zrc_nd_10m_guard-R3-4h,final,B,4 h,3,challenge_zrc_nd_10m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-lead_zrc_nd_3p5m_guard-R3-0h-initial,ZRCND-B-lead_zrc_nd_3p5m_guard-R3-0h,initial,B,0 h,3,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-lead_zrc_nd_3p5m_guard-R3-0h-final,ZRCND-B-lead_zrc_nd_3p5m_guard-R3-0h,final,B,0 h,3,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-lead_zrc_nd_3p5m_guard-R3-1h-initial,ZRCND-B-lead_zrc_nd_3p5m_guard-R3-1h,initial,B,1 h,3,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-lead_zrc_nd_3p5m_guard-R3-1h-final,ZRCND-B-lead_zrc_nd_3p5m_guard-R3-1h,final,B,1 h,3,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-lead_zrc_nd_3p5m_guard-R3-24h-initial,ZRCND-B-lead_zrc_nd_3p5m_guard-R3-24h,initial,B,24 h,3,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-lead_zrc_nd_3p5m_guard-R3-24h-final,ZRCND-B-lead_zrc_nd_3p5m_guard-R3-24h,final,B,24 h,3,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-lead_zrc_nd_3p5m_guard-R3-4h-initial,ZRCND-B-lead_zrc_nd_3p5m_guard-R3-4h,initial,B,4 h,3,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-lead_zrc_nd_3p5m_guard-R3-4h-final,ZRCND-B-lead_zrc_nd_3p5m_guard-R3-4h,final,B,4 h,3,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R3-0h-initial,ZRCND-B-no_module_static_control-R3-0h,initial,B,0 h,3,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R3-0h-final,ZRCND-B-no_module_static_control-R3-0h,final,B,0 h,3,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R3-1h-initial,ZRCND-B-no_module_static_control-R3-1h,initial,B,1 h,3,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R3-1h-final,ZRCND-B-no_module_static_control-R3-1h,final,B,1 h,3,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R3-24h-initial,ZRCND-B-no_module_static_control-R3-24h,initial,B,24 h,3,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R3-24h-final,ZRCND-B-no_module_static_control-R3-24h,final,B,24 h,3,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R3-4h-initial,ZRCND-B-no_module_static_control-R3-4h,initial,B,4 h,3,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-B-no_module_static_control-R3-4h-final,ZRCND-B-no_module_static_control-R3-4h,final,B,4 h,3,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-baseline_rc_3p5m_guard-R1-0h-initial,ZRCND-C-baseline_rc_3p5m_guard-R1-0h,initial,C,0 h,1,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-baseline_rc_3p5m_guard-R1-0h-final,ZRCND-C-baseline_rc_3p5m_guard-R1-0h,final,C,0 h,1,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-baseline_rc_3p5m_guard-R1-24h-initial,ZRCND-C-baseline_rc_3p5m_guard-R1-24h,initial,C,24 h,1,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-baseline_rc_3p5m_guard-R1-24h-final,ZRCND-C-baseline_rc_3p5m_guard-R1-24h,final,C,24 h,1,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-baseline_rc_3p5m_guard-R1-4h-initial,ZRCND-C-baseline_rc_3p5m_guard-R1-4h,initial,C,4 h,1,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-baseline_rc_3p5m_guard-R1-4h-final,ZRCND-C-baseline_rc_3p5m_guard-R1-4h,final,C,4 h,1,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-bulk_exchange_reference-R1-0h-initial,ZRCND-C-bulk_exchange_reference-R1-0h,initial,C,0 h,1,bulk_exchange_reference,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-bulk_exchange_reference-R1-0h-final,ZRCND-C-bulk_exchange_reference-R1-0h,final,C,0 h,1,bulk_exchange_reference,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-bulk_exchange_reference-R1-24h-initial,ZRCND-C-bulk_exchange_reference-R1-24h,initial,C,24 h,1,bulk_exchange_reference,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-bulk_exchange_reference-R1-24h-final,ZRCND-C-bulk_exchange_reference-R1-24h,final,C,24 h,1,bulk_exchange_reference,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-bulk_exchange_reference-R1-4h-initial,ZRCND-C-bulk_exchange_reference-R1-4h,initial,C,4 h,1,bulk_exchange_reference,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-bulk_exchange_reference-R1-4h-final,ZRCND-C-bulk_exchange_reference-R1-4h,final,C,4 h,1,bulk_exchange_reference,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-lead_zrc_nd_3p5m_guard-R1-0h-initial,ZRCND-C-lead_zrc_nd_3p5m_guard-R1-0h,initial,C,0 h,1,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-lead_zrc_nd_3p5m_guard-R1-0h-final,ZRCND-C-lead_zrc_nd_3p5m_guard-R1-0h,final,C,0 h,1,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-lead_zrc_nd_3p5m_guard-R1-24h-initial,ZRCND-C-lead_zrc_nd_3p5m_guard-R1-24h,initial,C,24 h,1,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-lead_zrc_nd_3p5m_guard-R1-24h-final,ZRCND-C-lead_zrc_nd_3p5m_guard-R1-24h,final,C,24 h,1,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-lead_zrc_nd_3p5m_guard-R1-4h-initial,ZRCND-C-lead_zrc_nd_3p5m_guard-R1-4h,initial,C,4 h,1,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-lead_zrc_nd_3p5m_guard-R1-4h-final,ZRCND-C-lead_zrc_nd_3p5m_guard-R1-4h,final,C,4 h,1,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-no_module_static_control-R1-0h-initial,ZRCND-C-no_module_static_control-R1-0h,initial,C,0 h,1,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-no_module_static_control-R1-0h-final,ZRCND-C-no_module_static_control-R1-0h,final,C,0 h,1,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-no_module_static_control-R1-24h-initial,ZRCND-C-no_module_static_control-R1-24h,initial,C,24 h,1,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-no_module_static_control-R1-24h-final,ZRCND-C-no_module_static_control-R1-24h,final,C,24 h,1,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-no_module_static_control-R1-4h-initial,ZRCND-C-no_module_static_control-R1-4h,initial,C,4 h,1,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-no_module_static_control-R1-4h-final,ZRCND-C-no_module_static_control-R1-4h,final,C,4 h,1,no_module_static_control,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-baseline_rc_3p5m_guard-R2-0h-initial,ZRCND-C-baseline_rc_3p5m_guard-R2-0h,initial,C,0 h,2,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-baseline_rc_3p5m_guard-R2-0h-final,ZRCND-C-baseline_rc_3p5m_guard-R2-0h,final,C,0 h,2,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-baseline_rc_3p5m_guard-R2-24h-initial,ZRCND-C-baseline_rc_3p5m_guard-R2-24h,initial,C,24 h,2,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-baseline_rc_3p5m_guard-R2-24h-final,ZRCND-C-baseline_rc_3p5m_guard-R2-24h,final,C,24 h,2,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-baseline_rc_3p5m_guard-R2-4h-initial,ZRCND-C-baseline_rc_3p5m_guard-R2-4h,initial,C,4 h,2,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-baseline_rc_3p5m_guard-R2-4h-final,ZRCND-C-baseline_rc_3p5m_guard-R2-4h,final,C,4 h,2,baseline_rc_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-bulk_exchange_reference-R2-0h-initial,ZRCND-C-bulk_exchange_reference-R2-0h,initial,C,0 h,2,bulk_exchange_reference,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-bulk_exchange_reference-R2-0h-final,ZRCND-C-bulk_exchange_reference-R2-0h,final,C,0 h,2,bulk_exchange_reference,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-bulk_exchange_reference-R2-24h-initial,ZRCND-C-bulk_exchange_reference-R2-24h,initial,C,24 h,2,bulk_exchange_reference,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-bulk_exchange_reference-R2-24h-final,ZRCND-C-bulk_exchange_reference-R2-24h,final,C,24 h,2,bulk_exchange_reference,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-bulk_exchange_reference-R2-4h-initial,ZRCND-C-bulk_exchange_reference-R2-4h,initial,C,4 h,2,bulk_exchange_reference,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-bulk_exchange_reference-R2-4h-final,ZRCND-C-bulk_exchange_reference-R2-4h,final,C,4 h,2,bulk_exchange_reference,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-lead_zrc_nd_3p5m_guard-R2-0h-initial,ZRCND-C-lead_zrc_nd_3p5m_guard-R2-0h,initial,C,0 h,2,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-lead_zrc_nd_3p5m_guard-R2-0h-final,ZRCND-C-lead_zrc_nd_3p5m_guard-R2-0h,final,C,0 h,2,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-lead_zrc_nd_3p5m_guard-R2-24h-initial,ZRCND-C-lead_zrc_nd_3p5m_guard-R2-24h,initial,C,24 h,2,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-lead_zrc_nd_3p5m_guard-R2-24h-final,ZRCND-C-lead_zrc_nd_3p5m_guard-R2-24h,final,C,24 h,2,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-lead_zrc_nd_3p5m_guard-R2-4h-initial,ZRCND-C-lead_zrc_nd_3p5m_guard-R2-4h,initial,C,4 h,2,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
ZRCND-C-lead_zrc_nd_3p5m_guard-R2-4h-final,ZRCND-C-lead_zrc_nd_3p5m_guard-R2-4h,final,C,4 h,2,lead_zrc_nd_3p5m_guard,medium_integrity;waste_clearance;factor_retention;module_performance,record local sample location and assay plate/well before analysis
