queue_order,run_id,phase,timepoint,replicate,article_id,variant_id,gate_role,readout_groups,must_have_fields,matched_control_key
55,ZRCND-B-challenge_zrc_nd_10m_guard-R1-24h,B,24 h,1,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|24 h|1
56,ZRCND-B-challenge_zrc_nd_10m_guard-R1-4h,B,4 h,1,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|4 h|1
57,ZRCND-B-lead_zrc_nd_3p5m_guard-R1-0h,B,0 h,1,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,baseline_snapshot,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|0 h|1
58,ZRCND-B-lead_zrc_nd_3p5m_guard-R1-1h,B,1 h,1,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|1 h|1
59,ZRCND-B-lead_zrc_nd_3p5m_guard-R1-24h,B,24 h,1,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|24 h|1
60,ZRCND-B-lead_zrc_nd_3p5m_guard-R1-4h,B,4 h,1,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|4 h|1
61,ZRCND-B-no_module_static_control-R1-0h,B,0 h,1,no_module_static_control,,matched_control,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|0 h|1
62,ZRCND-B-no_module_static_control-R1-1h,B,1 h,1,no_module_static_control,,matched_control,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|1 h|1
63,ZRCND-B-no_module_static_control-R1-24h,B,24 h,1,no_module_static_control,,matched_control,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|24 h|1
64,ZRCND-B-no_module_static_control-R1-4h,B,4 h,1,no_module_static_control,,matched_control,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|4 h|1
65,ZRCND-B-baseline_rc_3p5m_guard-R2-0h,B,0 h,2,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,baseline_snapshot,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|0 h|2
66,ZRCND-B-baseline_rc_3p5m_guard-R2-1h,B,1 h,2,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|1 h|2
67,ZRCND-B-baseline_rc_3p5m_guard-R2-24h,B,24 h,2,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|24 h|2
68,ZRCND-B-baseline_rc_3p5m_guard-R2-4h,B,4 h,2,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|4 h|2
69,ZRCND-B-challenge_zrc_nd_10m_guard-R2-0h,B,0 h,2,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,baseline_snapshot,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|0 h|2
70,ZRCND-B-challenge_zrc_nd_10m_guard-R2-1h,B,1 h,2,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|1 h|2
71,ZRCND-B-challenge_zrc_nd_10m_guard-R2-24h,B,24 h,2,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|24 h|2
72,ZRCND-B-challenge_zrc_nd_10m_guard-R2-4h,B,4 h,2,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|4 h|2
73,ZRCND-B-lead_zrc_nd_3p5m_guard-R2-0h,B,0 h,2,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,baseline_snapshot,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|0 h|2
74,ZRCND-B-lead_zrc_nd_3p5m_guard-R2-1h,B,1 h,2,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|1 h|2
75,ZRCND-B-lead_zrc_nd_3p5m_guard-R2-24h,B,24 h,2,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|24 h|2
76,ZRCND-B-lead_zrc_nd_3p5m_guard-R2-4h,B,4 h,2,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|4 h|2
77,ZRCND-B-no_module_static_control-R2-0h,B,0 h,2,no_module_static_control,,matched_control,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|0 h|2
78,ZRCND-B-no_module_static_control-R2-1h,B,1 h,2,no_module_static_control,,matched_control,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|1 h|2
79,ZRCND-B-no_module_static_control-R2-24h,B,24 h,2,no_module_static_control,,matched_control,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|24 h|2
80,ZRCND-B-no_module_static_control-R2-4h,B,4 h,2,no_module_static_control,,matched_control,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|4 h|2
81,ZRCND-B-baseline_rc_3p5m_guard-R3-0h,B,0 h,3,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,baseline_snapshot,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|0 h|3
82,ZRCND-B-baseline_rc_3p5m_guard-R3-1h,B,1 h,3,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|1 h|3
83,ZRCND-B-baseline_rc_3p5m_guard-R3-24h,B,24 h,3,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|24 h|3
84,ZRCND-B-baseline_rc_3p5m_guard-R3-4h,B,4 h,3,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|4 h|3
85,ZRCND-B-challenge_zrc_nd_10m_guard-R3-0h,B,0 h,3,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,baseline_snapshot,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|0 h|3
86,ZRCND-B-challenge_zrc_nd_10m_guard-R3-1h,B,1 h,3,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|1 h|3
87,ZRCND-B-challenge_zrc_nd_10m_guard-R3-24h,B,24 h,3,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,gate_evaluable,medium_integrity;waste_clearance;factor_retention;module_performance,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;bubble_events;conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;flow_resistance_final;flow_resistance_initial;housing_material;initial_volume_ml;lactate_final_mM;lactate_initial_mM;medium_lot;medium_name;membrane_area_cm2;membrane_lot;ngf_final_pg_ml;ngf_initial_pg_ml;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial;visible_precipitate,B|24 h|3
